Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
07,2021,Värmland,7598,0.032103,Färdigvaccinerade,,,
07,2021,Örebro,17233,0.068474,Minst 1 dos,,,
07,2021,Örebro,9574,0.038042,Färdigvaccinerade,,,
07,2021,Västmanland,14423,0.063154,Minst 1 dos,,,
07,2021,Västmanland,9324,0.040827,Färdigvaccinerade,,,
07,2021,Dalarna,14147,0.059212,Minst 1 dos,,,
07,2021,Dalarna,9918,0.041512,Färdigvaccinerade,,,
07,2021,Gävleborg,18396,0.076710,Minst 1 dos,,,
07,2021,Gävleborg,8476,0.035344,Färdigvaccinerade,,,
07,2021,Västernorrland,11350,0.055612,Minst 1 dos,,,
07,2021,Västernorrland,6800,0.033318,Färdigvaccinerade,,,
07,2021,Jämtland,7026,0.064487,Minst 1 dos,,,
07,2021,Jämtland,3595,0.032996,Färdigvaccinerade,,,
07,2021,Västerbotten,12086,0.053208,Minst 1 dos,,,
07,2021,Västerbotten,5418,0.023853,Färdigvaccinerade,,,
07,2021,Norrbotten,13666,0.064728,Minst 1 dos,,,
07,2021,Norrbotten,8557,0.040530,Färdigvaccinerade,,,
08,2021,| Sverige |,562538,0.065859,Minst 1 dos,,,
08,2021,| Sverige |,302143,0.035374,Färdigvaccinerade,,,
08,2021,Stockholm,84873,0.043496,Minst 1 dos,,,
08,2021,Stockholm,47065,0.024120,Färdigvaccinerade,,,
08,2021,Uppsala,20460,0.064059,Minst 1 dos,,,
08,2021,Uppsala,10113,0.031663,Färdigvaccinerade,,,
08,2021,Södermanland,21097,0.086124,Minst 1 dos,,,
08,2021,Södermanland,11374,0.046432,Färdigvaccinerade,,,
08,2021,Östergötland,29361,0.076069,Minst 1 dos,,,
08,2021,Östergötland,15657,0.040564,Färdigvaccinerade,,,
08,2021,Jönköping,24834,0.083292,Minst 1 dos,,,
08,2021,Jönköping,12872,0.043172,Färdigvaccinerade,,,
08,2021,Kronoberg,10856,0.065678,Minst 1 dos,,,
08,2021,Kronoberg,6195,0.037479,Färdigvaccinerade,,,
08,2021,Kalmar,19245,0.093750,Minst 1 dos,,,
08,2021,Kalmar,11102,0.054082,Färdigvaccinerade,,,
08,2021,Gotland,5847,0.114956,Minst 1 dos,,,
08,2021,Gotland,4396,0.086428,Färdigvaccinerade,,,
08,2021,Blekinge,12295,0.092818,Minst 1 dos,,,
08,2021,Blekinge,6360,0.048013,Färdigvaccinerade,,,
08,2021,Skåne,65464,0.057596,Minst 1 dos,,,
08,2021,Skåne,37576,0.033060,Färdigvaccinerade,,,
08,2021,Halland,22236,0.080612,Minst 1 dos,,,
08,2021,Halland,12019,0.043572,Färdigvaccinerade,,,
08,2021,Västra Götaland,90417,0.063289,Minst 1 dos,,,
08,2021,Västra Götaland,46242,0.032368,Färdigvaccinerade,,,
08,2021,Värmland,20049,0.084711,Minst 1 dos,,,
08,2021,Värmland,11051,0.046693,Färdigvaccinerade,,,
08,2021,Örebro,22055,0.087634,Minst 1 dos,,,
08,2021,Örebro,10426,0.041427,Färdigvaccinerade,,,
08,2021,Västmanland,17771,0.077814,Minst 1 dos,,,
08,2021,Västmanland,9613,0.042092,Färdigvaccinerade,,,
08,2021,Dalarna,17953,0.075142,Minst 1 dos,,,
08,2021,Dalarna,10071,0.042152,Färdigvaccinerade,,,
08,2021,Gävleborg,22393,0.093377,Minst 1 dos,,,
08,2021,Gävleborg,10977,0.045773,Färdigvaccinerade,,,
08,2021,Västernorrland,14825,0.072639,Minst 1 dos,,,
08,2021,Västernorrland,8551,0.041898,Färdigvaccinerade,,,
